,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
57028,199408120004,1994,8,12,,0,,214,Ukraine,9,Eastern Europe,Crimea,Simferopol,44.952117,34.102416999999996,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,2.0,Restaurant/Bar/Café,Unk,U/I Restaurant,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
57314,199409200002,1994,9,20,,0,,214,Ukraine,9,Eastern Europe,Kiev,Kiev,50.4501,30.5234,1.0,0,,,1,1,1,0.0,,,0.0,0,0,1,Assassination,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Foreign Trade Ministry,"Foreign Trade Minister Serniy Osyka, 35",214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,4.0,,,,,,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,,,,,,,,,Knife,0.0,,,1.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
57432,199410040003,1994,10,4,,0,,214,Ukraine,9,Eastern Europe,Kiev,Kiev,50.4501,30.5234,1.0,0,,,1,1,1,0.0,,,0.0,0,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Parliament member,People's Deputy Sheriy Chumasov and wife,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,1.0,,,,,,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,,,,,,,,,Knife,1.0,,,1.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
58391,199502010005,1995,2,1,,0,,214,Ukraine,9,Eastern Europe,Crimea,Simferopol,44.952117,34.102416999999996,1.0,0,,,1,1,1,-9.0,,,0.0,0,0,1,Assassination,,,,,1,Business,4.0,Multinational Corporation,Crimean Gas Production Assoc.,Dir. General,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Firearm,0.0,,,2.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
59321,199505220099,1995,5,22,,0,,214,Ukraine,9,Eastern Europe,Odessa,Odessa,46.484583,30.7326,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,6,Airports & Aircraft,43.0,Airline Officer/Personnel,Austrian Airlines,airport office,15.0,Austria,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
61971,199603230005,1996,3,23,,0,,214,Ukraine,9,Eastern Europe,Kiev,Kiev,50.4501,30.5234,1.0,0,,,1,1,1,-9.0,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,,,Skif 88 Crimean Association,American-Crimean Corp,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
62835,199607160006,1996,7,16,,0,,214,Ukraine,9,Eastern Europe,Kiev,Kiev,50.4501,30.5234,1.0,0,,,1,1,1,0.0,,,0.0,0,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,,Ukrainian Preimer,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,3.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
63182,199608240003,1996,8,24,,1,8/25/1996,214,Ukraine,9,Eastern Europe,Crimea,Simferopol,44.952117,34.102416999999996,1.0,0,,,1,1,1,-9.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,,Chairman of Crimean Parliament,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Firearm,0.0,,,0.0,,,0,,,,,1.0,1.0,0.0,0.0,1.0,,Ukraine,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
65390,199705160005,1997,5,16,,0,,214,Ukraine,9,Eastern Europe,Crimea,Simferopol,44.952117,34.102416999999996,1.0,0,,,1,1,1,-9.0,,,0.0,1,0,1,Assassination,,,,,1,Business,,,,Privatization chief,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Small caliber,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
66243,199708110009,1997,8,11,,0,,214,Ukraine,9,Eastern Europe,,Odessa,46.484583,30.7326,1.0,0,,,1,1,1,0.0,,,0.0,1,0,1,Assassination,,,,,10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,Vechernyaya Odessa Newspaper,Editor-in-Chief Borys Derevyanko,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,Pistol,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
69158,199907080003,1999,7,8,,0,,214,Ukraine,9,Eastern Europe,Kiev City (Municipality),Perechesk,50.430754,30.532801,1.0,0,,"07/08/1999: Two unknown assailants lobbed two Molotov cocktails at the United States Embassy in Kiev, Ukraine. The fire was immediately extinguished and there were no injuries or damage to the area.",1,1,1,1.0,2.0,Other Crime Type,0.0,0,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,United States Department of State,"United States Embassy in Kiev, Ukraine",217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,2.0,0.0,0.0,,,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Molotov Cocktails Aimed at U.S. Embassy,"" Eastern Economist Daily, July 12, 1999.",,,CETIS,-9,-9,1,1,
69473,199910020001,1999,10,2,,0,,214,Ukraine,9,Eastern Europe,Dnipropetrovsk (Oblast),Ingulets,47.729721999999995,33.254721999999994,1.0,0,,"10/02/1999: An assassination attempt on Natalya Vetrenko, a Ukrainian Presidential Candidate from the Progressive Socialist Party, injured Vetrenko and Party leader Vladimir Marchenko, as well as 33 additional people, two of whom were hospitalized in serious condition and two in critical condition. At approximately 8:00pm local time, the perpetrators threw two RGD-5 fragmentation hand grenades at Vetrenko as she was getting into her car following a meeting with voters in Inguletsk, Dnepropetrovsk Oblast, Ukraine. Two people suspected of carrying out the attack were arrested and a rival candidate's campaign organizer was also suspected of being involved in the incident.",1,1,1,1.0,2.0,Other Crime Type,0.0,0,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Progressive Socialist Party,"Natalya Vetrenko, a Ukrainian Presidential Candidate from the Progressive Socialist Party",214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,2.0,2.0,0.0,,,,,,,,,,6,Explosives,7.0,Grenade,,,,,,,,,,,,,,0.0,0.0,0.0,35.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,,0.0,,,,,,,,,,,,,,,,,"Sergei Shargorodsky, Grenades Injure Presidential Contender, Dozens of People in Ukraine,"" The Associated Press, October 3, 1999.","""Up to 15 people Injured in Attempt on Ukrainian Presidential Candidate, BBC Monitoring, October 3, 1999.","""In Ukraine Attempt made on Presidential Candidates life, Interfax, October 3, 1999.",CETIS,-9,-9,0,-9,
69670,199911070006,1999,11,7,,0,,214,Ukraine,9,Eastern Europe,L'viv (Oblast),Lviv,49.839683,24.029717,1.0,0,,"11/07/1999: The apartment of an ethnic Russian, Tetiana Shvetsova, in the city of Lviv, Ukraine, was set ablaze by unknown extremists. This is one of three attacks on three separate apartments owned by ethnic Russians or Jews in Lviv on 11/07/1999. No casualties resulted from the incident. It was unknown who was responsible for the incident.",1,1,1,0.0,,,1.0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Ethnic Russian,Tetiana Shvetsova,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,There was no report describing how the arson was set.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,An apartment was damaged.,0.0,,,,,,,,,,,,,,,,"This is one of 3 related incidents (cf. 199911070007, 199911070008). Tetiana Shvetsova head an ethnic Russian womens' group in western Ukraine.","Apartments of Jewish, ethnic Russian leaders torched in western Ukraine, Associated Press Worldstream, November 16, 1999.",,,CETIS,-9,-9,0,-9,"199911070006, 199911070007, 199911070008"
69671,199911070007,1999,11,7,,0,,214,Ukraine,9,Eastern Europe,L'viv (Oblast),Lviv,49.839683,24.029717,1.0,0,,"11/07/1999: The apartment of an ethnic Jew, Professor Rudolf Myrsky, in the city of Lviv, Ukraine, was set ablaze by unknown extremists. This is one of three attacks on three separate apartments owned by ethnic Russians or Jews in Lviv on 11/07/1999. No casualties resulted from the incident. It was unknown who was responsible for the incident.",1,1,1,0.0,,,1.0,1,0,7,Facility/Infrastructure Attack,,,,,8,Educational Institution,48.0,Teacher/Professor/Instructor,Ethnic Jew,Professor Rudolf Myrsky,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,There was no report describing how the arson was set.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,An apartment was damaged.,0.0,,,,,,,,,,,,,,,,"This is one of 3 related incidents (cf. 199911070006, 199911070008). Professor Rudolf Myrsky was a member of the Golden Rose Jewish association.","Apartments of Jewish, ethnic Russian leaders torched in western Ukraine, Associated Press Worldstream, November 16, 1999.",,,CETIS,-9,-9,0,-9,"199911070007, 199911070006, 199911070008"
69672,199911070008,1999,11,7,,0,,214,Ukraine,9,Eastern Europe,L'viv (Oblast),Lviv,49.839683,24.029717,1.0,0,,"11/07/1999: The apartment of an ethnic Jew, Yuliy Shterenberg, in the city of Lviv, Ukraine, was set ablaze by unknown extremists. This is one of three attacks on three separate apartments owned by ethnic Russians or Jews in Lviv on 11/07/1999. No casualties resulted from the incident. It was unknown who was responsible for the incident.",1,1,1,0.0,,,1.0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,69.0,Religion Identified,Ethnic Jew,Yuliy Shterenberg,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,There was no report describing how the arson was set.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,An apartment was damaged.,0.0,,,,,,,,,,,,,,,,"This is one of 3 related incidents (cf. 199911070006, 199911070007). Yuliy Shterenberg was the head of the public Shalom committee.","Apartments of Jewish, ethnic Russian leaders torched in western Ukraine, Associated Press Worldstream, November 16, 1999.",,,CETIS,-9,-9,0,-9,"199911070008, 199911070006, 199911070007"
69741,199911230005,1999,11,23,,0,,214,Ukraine,9,Eastern Europe,Kiev City (Municipality),Kiev,50.4501,30.5234,1.0,0,,"11/23/1999: Unidentified assailants attempted to assassinate Dmitri Divorces of the Vinnitsa Regional Administration in Kiev, Ukraine. Dvorkis and his bodyguard were wounded and his driver was killed.",1,1,1,1.0,2.0,Other Crime Type,0.0,0,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Vinnitsa Regional Administration,Dmitri Divorces,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,,0.0,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,,"Attempt to Kill Former Ukrainian Regional Chief, Interfax, November 23, 1999.",,,CETIS,-9,-9,0,-9,
71333,200011070005,2000,11,7,,0,,214,Ukraine,9,Eastern Europe,Luhansk Oblast,Luhansk,48.581534999999995,39.355545,1.0,0,In front of the First Ukrainian International Bank,"11/7/2000: An unidentified individual placed a bomb at the First Ukrainian International Bank in Luhansk, Luhansk Oblast, Ukraine.  No one was injured in the explosion and the building suffered only minor damage.  No group claimed responsibility for the attack and the motive is unknown.",1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,3.0,Bank/Commerce,Ukrainian bank,First Ukrainian International Bank,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,"The explosion caused ""only insignificant damage"" to the building",0.0,,,,,,,,,,,,,,,,,"""Bomb damages World Bank building in eastern city,"" IntelNews News Agency, November 8, 2000.","""Ukraine - Agency correction to bank bomb story of 8th November,"" IntelNews News Agency, November 10, 2000.",,UMD Schmid 2012,-9,-9,0,-9,
73660,200201230001,2002,1,23,,0,,214,Ukraine,9,Eastern Europe,Odessa (Oblast),Odessa,46.484583,30.7326,1.0,0,,"01/23/2002: The Odessa city prosecutor, Halyna Klymovych, was the target of a car-bombing in Odessa, Ukraine. The prosecutor was unhurt in the attack, although two others were injured.",1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,2,Government (General),14.0,Judge/Attorney/Court,Ukranian Government Official,"Odessa City Prosecutor, Halyna Klymovych",214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,,0.0,,,,,,,,,,6,Explosives,15.0,Vehicle,,,,,,,,,,,,,The car bomb was suspected to be detonated via remote control. Nails and army explosives had been placed under the car.,0.0,0.0,0.0,2.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,,0.0,,,,,,,,,,,,,,,,"The main theory investigated in regard to the cause of the assassination attempt was that it was an attempt to frighten or kill Halyna Klymovych, who had investigated several major criminal cases in Odessa.","Car bomb explodes in front of prosecutors apartment, Novyy Kanal Television, January 23, 2002.",,,CETIS,-9,-9,0,-9,
73917,200203300003,2002,3,29,,0,,214,Ukraine,9,Eastern Europe,Kiev City Municipality,Kiev,50.4501,30.5234,1.0,0,A building on Chornovil Street,"3/29/2002: Mykola Shkriblyak, a candidate of the Social Democratic Party, was shot inside of his apartment building in Kiev, Kiev City Municipality, Ukraine.  He died the next day from his injuries.  No group has claimed responsibility for the attack and the motive is unknown; however, the attack occurred two days before parliamentary elections.",1,1,1,0.0,,,0.0,1,0,1,Assassination,,,,,14,Private Citizens & Property,84.0,Political Party Member/Rally,Parliamentary candidate,"Mykola Shkriblyak, a candidate of the Social Democratic Party",214.0,Ukraine,,,,,,,,,,,,,,,,,Gunmen,,,,,,"Specific motive is unknown; however, officials speculate that it was meant to intimidate Shkriblyak's colleagues.",0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,He was shot from behind by an unknown gunman,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"Charlton, Angela, ""Ukrainian candidate dies in shooting,"" Associated Press, March 31, 2002.","""Parliamentary hopeful shot dead in western Ukraine,"" UNIAN News Agency, March 30, 2002.","""Candidate murdered days before Ukraine's parliamentary elections,"" Xinhua General News Service, March 30, 2002.",UMD Schmid 2012,-9,-9,0,-9,
74130,200205110006,2002,5,11,,0,,214,Ukraine,9,Eastern Europe,Zakarpattia (Oblast),Berehove,48.2,22.633333,1.0,0,,"05/11/2002: An unknown perpetrator threw two gasoline bombs at the house of a Ukrainian journalist who worked for Fest and for Staryy Zamok regional newspapers in Berehove, Ukraine. The bombs started a fire that was extinguished before anyone was hurt. No group claimed responsibility for the attack.",1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,Fest and Staryy Zamok Regional Newspapers,A journalist's home in Berehove,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,1.0,0.0,0.0,,,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,Two gasoline bombs were thrown at the house.,0.0,0.0,0.0,0.0,0.0,0.0,-9,4.0,Unknown,,,0.0,,,,,,,,,,,,,,,,,"Arson attack on journalist's house reported in western Ukraine, Interfax, May 11, 2002.",,,CETIS,-9,-9,0,-9,
